,Brand,Cooling_Capacity,Star_Rating,Annual_power_usage,Room_Size,Warranty,Price,Ratings,no_of_rating,Reviews
192,Haier,1.3 Ton,3 Star,804.22,111 - 150,1,"60,999",4,"1,541",185
193,Godrej,1.5 Ton,3 Star,980.37,111 - 150,1,"31,990",3.8,132,10
194,Lloyd,1.5 Ton,5 Star,759.37,111 - 150,1,"51,000",3.8,202,20
195,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"44,990",3.9,"4,186",284
196,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
197,IFB,1.5 Ton,3 Star,1002.83,111 - 150,1,"41,490",3.9,"1,637",133
198,Voltas,1 Ton,3 Star,672.93,90,,"30,390",3.9,237,18
199,Haier,1.5 Ton,3 Star,925.24,111 - 150,1,"38,300",4,"1,314",132
200,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
201,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
202,MITASHI,1 Ton,3 Star,765.59,90,,"29,500",4.1,104,10
203,Midea,1 Ton,3 Star,704.46,90,,"59,999",4,765,100
204,Blue,1.5 Ton,4 Star,840.75,111 - 150,1,"40,990",4,"5,266",456
205,Godrej,1.5 Ton,3 Star,1046.29,111 - 150,1,"32,490",4.1,"2,762",259
206,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
207,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
208,Lloyd,1.5 Ton,5 Star,,1370,1,"42,999",4.2,511,57
209,SAMSUNG,2 Ton,3 Star,1145.22,151 - 200,1,"55,990",4.1,450,38
210,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
211,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
212,SAMSUNG,1 Ton,3 Star,624.48,90,,"48,989",4.1,"6,491",481
213,IFB,1 Ton,2 Star,773.19,90,,"32,490",3.9,"1,637",133
214,Voltas,1.5 Ton,5 Star,759.07,111 - 150,1,"41,449",4.2,"1,679",146
215,Daikin,1 Ton,3 Star,68.4,90,,"33,949",3.8,13,
216,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,869","1,254"
217,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
218,LG,1.5 Ton,5 Star,818.81,111 - 150,1,"50,300",4.1,"40,617","3,635"
219,Voltas,1.5 Ton,3 Star,1204.98,111 - 150,1,"34,990",4.1,795,57
220,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
221,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
222,Blue,0.9 Ton,3 Star,644.46,90,,"36,400",4.1,"15,366","1,512"
223,IFB,1.5 Ton,3 Star,1005.73,111 - 150,1,"42,999",4,"7,020",614
224,MITASHI,1 Ton,3 Star,765.59,90,,"29,500",4.1,104,10
225,Panasonic,1 Ton,5 Star,531.41,90,,"40,990",4.1,473,56
226,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
227,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
228,CARRIER,1.5 Ton,4 Star,974.21,111 - 150,1,"38,499",4.2,"3,544",352
229,IFB,1.5 Ton,5 Star,798.18,111 - 150,1,"42,990",4,"7,020",614
230,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
231,Blue,2 Ton,3 Star,1261.37,151 - 200,1,"48,990",4,"5,266",456
232,,1 Ton,3 Star,701.66,90,,"38,990",,,
233,CARRIER,2 Ton,5 Star,920.55,151 - 200,1,"53,990",4.2,140,
234,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"46,990",4.1,601,73
235,CANDY,1 Ton,5 Star,528.92,90,,"27,490",4,966,144
236,Panasonic,1 Ton,3 Star,676.64,90,,"32,990",4,"2,464",262
237,Panasonic,1 Ton,5 Star,524.08,90,,"38,990",4.1,"24,837","2,508"
238,TOSHIBA,1.8 Ton,5 Star,996.24,151 - 200,1,"52,416",4,,
239,Voltas,1.5 Ton,3 Star,,111 - 150,,"29,729",4.2,"24,926","2,037"
240,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
241,IFB,1.5 Ton,3 Star,1002.83,111 - 150,1,"41,490",3.9,"1,637",133
242,Daikin,1.5 Ton,3 Star,881.05,111 - 150,1,"42,490",4.1,73,
243,MarQ,1.5 Ton,3 Star,1213.1,111 - 150,1,"27,984",4.4,190,26
244,Whirlpool,1.5 Ton,5 Star,826.39,111 - 150,,"43,500",4.1,"6,025",653
245,CARRIER,1 Ton,5 Star,,0,,"42,800",4.2,439,69
246,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
247,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
248,Hitachi,1.5 Ton,3 Star,1024.34,111 - 150,1,"40,800",4,"2,528",215
249,Panasonic,1.5 Ton,3 Star,1015.62,111 - 150,1,"36,999",4,"2,464",262
250,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
251,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
252,MOTOROLA,1.5 Ton,3 Star,953.78,111 - 150,1,"29,990",4.3,454,56
253,Admiral,1.5 Ton,5 Star,767.34,111 - 150,3,"33,990",3.9,64,12
254,Haier,1 Ton,3 Star,694.49,90,,"34,518",4,"2,979",347
255,Hitachi,1 Ton,3 Star,669.16,90,,"32,990",3.9,"3,590",325
256,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
257,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
258,Lloyd,1 Ton,3 Star,698.49,90,,"34,999",4.2,107,
259,SAMSUNG,1.5 Ton,5 Star,832.8,111 - 150,1,"49,500",4.2,"3,581",313
260,Panasonic,1 Ton,3 Star,676.64,90,,"32,990",4,"2,464",262
261,Blue,2 Ton,3 Star,1261.37,151 - 200,1,"48,990",4,"5,266",456
262,Whirlpool,1.5 Ton,4 Star,854.16,111 - 150,1,"42,900",4,"7,423",599
263,LG,1.5 Ton,5 Star,685.26,111 - 150,1,"50,600",4.1,"40,617","3,635"
264,Blue,1.5 Ton,5 Star,774.88,111 - 150,1,"46,999",4.7,,
265,Godrej,1.7 Ton,3 Star,1131.4,151 - 200,1,"35,149",4.4,16,
266,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
267,IFB,1.5 Ton,3 Star,1002.83,111 - 150,1,"41,490",3.9,"1,637",133
268,Lloyd,1.5 Ton,3 Star,940.43,111 - 150,1,"35,440",4,14,
269,Blue,1.5 Ton,3 Star,1002.84,111 - 150,1,"40,800",4.1,"4,631",388
270,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
271,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
272,CARRIER,2 Ton,3 Star,1257.12,151 - 200,1,"78,500",4,"14,872","1,254"
273,LG,1.5 Ton,5 Star,818.81,111 - 150,1,"50,300",4.1,"40,617","3,635"
274,Daikin,1.5 Ton,3 Star,967.4,111 - 150,1,"40,990",4.1,"5,417",407
275,CARRIER,0.8 Ton,3 Star,526.03,90,,"55,690",4,"14,872","1,254"
276,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
277,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
278,Admiral,1 Ton,3 Star,684.78,90,,"27,490",3.9,64,12
279,IFB,1.5 Ton,3 Star,1005.73,111 - 150,1,"45,999",3.9,"1,637",133
280,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
281,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
282,Blue,1.5 Ton,3 Star,1026.46,111 - 150,1,"37,349",4,,
283,Blue,1.5 Ton,3 Star,975.37,111 - 150,1,"40,800",4.1,"15,366","1,512"
284,Blue,1.2 Ton,3 Star,865.48,91 - 110,1,"34,999",4.1,"15,366","1,512"
285,Haier,1.6 Ton,5 Star,836.95,151 - 200,1,"42,990",4,,
286,Panasonic,1 Ton,3 Star,676.64,90,,"32,990",4,"2,464",262
287,Blue,2 Ton,3 Star,1261.37,151 - 200,1,"48,990",4,"5,266",456
